2022-11-25 11:30:29,420 [main] INFO  com.example.demo.DemoApplication 55 - Starting DemoApplication using Java 17.0.4.1 on June4693-450G7 with PID 28072 (C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo\target\classes started by June.Wu in C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo)
2022-11-25 11:34:35,571 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - hello 123 456 789
2022-11-25 11:34:35,573 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - {CamelFileAbsolute=true, CamelFileAbsolutePath=C:\Users\june.wu\Desktop\cameltest\fileMove\testapi1123-2.txt, CamelFileLastModified=1669262580064, CamelFileLength=732, CamelFileName=testapi1123-2.txt, CamelFileNameConsumed=testapi1123-2.txt, CamelFileNameOnly=testapi1123-2.txt, CamelFileParent=C:\Users\june.wu\Desktop\cameltest\fileMove, CamelFilePath=C:\Users\june.wu\Desktop\cameltest\fileMove\testapi1123-2.txt, CamelFileRelativePath=testapi1123-2.txt, CamelMessageTimestamp=1669262580064}
2022-11-25 11:34:35,574 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - 1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
2022-11-25 11:34:35,576 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - {CamelFileAbsolute=true, CamelFileAbsolutePath=C:\Users\june.wu\Desktop\cameltest\fileMove\testapi1123.txt, CamelFileLastModified=1669262580064, CamelFileLength=732, CamelFileName=testapi1123.txt, CamelFileNameConsumed=testapi1123.txt, CamelFileNameOnly=testapi1123.txt, CamelFileParent=C:\Users\june.wu\Desktop\cameltest\fileMove, CamelFilePath=C:\Users\june.wu\Desktop\cameltest\fileMove\testapi1123.txt, CamelFileRelativePath=testapi1123.txt, CamelMessageTimestamp=1669262580064}
2022-11-25 11:34:35,576 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - 1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
2022-11-25 11:34:44,546 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3386 - Apache Camel 3.17.0 (camel-3) shutting down (timeout:45s)
2022-11-25 11:34:44,550 [main] INFO  o.a.c.i.engine.AbstractCamelContext 166 - Routes stopped (total:1 stopped:1)
2022-11-25 11:34:44,550 [main] INFO  o.a.c.i.engine.AbstractCamelContext 166 -     Stopped route1 (file:///Users/june.wu/Desktop/cameltest/fileMove)
2022-11-25 11:34:44,552 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3525 - Apache Camel 3.17.0 (camel-3) shutdown in 6ms (uptime:10s28ms)
2022-11-25 11:34:44,552 [main] INFO  com.example.demo.Camel 41 - finally!
2022-11-25 11:35:11,123 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3386 - Apache Camel 3.17.0 (camel-2) shutting down (timeout:45s)
2022-11-25 11:35:11,123 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 166 - Routes stopped (total:0 stopped:0)
2022-11-25 11:35:11,123 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3525 - Apache Camel 3.17.0 (camel-2) shutdown in 0ms (uptime:36s750ms)
2022-11-25 11:37:04,554 [main] INFO  com.example.demo.DemoApplication 55 - Starting DemoApplication using Java 17.0.4.1 on June4693-450G7 with PID 27608 (C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo\target\classes started by June.Wu in C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo)
2022-11-25 11:37:04,559 [main] INFO  com.example.demo.DemoApplication 645 - No active profile set, falling back to 1 default profile: "default"
2022-11-25 11:37:06,053 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8080 (http)
2022-11-25 11:37:06,064 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-25 11:37:06,064 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2022-11-25 11:37:06,064 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2022-11-25 11:37:06,202 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
